# Axial (center line) profile RAO nozzle / chemical equilibrium / Kerosene conditions
# Columns:
# 1: Axial distance from throat [mm]
# 2: Density [kg/m3]
# 3: axial velocity [m/s]
# 4: pressure [Pa]
# 5: temperature [K]
# 6: Mach number [1]
# 7-12: Mass fractions of major species: CO, CO2, H2, H2O, OH, O2
 -2.718956893E+02 7.941885215E+00 2.580382595E+02 1.053419969E+07 3.636113075E+03 2.090715023E-01 4.423837214E-01 2.469820199E-01 9.573743552E-03 2.575500868E-01 3.028597938E-02 8.297842865E-03
 -2.625200867E+02 7.943594561E+00 2.586304101E+02 1.053624447E+07 3.636080500E+03 2.095530233E-01 4.423785334E-01 2.469901633E-01 9.573580435E-03 2.575559835E-01 3.028112316E-02 8.295441272E-03
 -2.534175599E+02 7.938306456E+00 2.608639358E+02 1.052876411E+07 3.635900820E+03 2.113684920E-01 4.423741470E-01 2.469971416E-01 9.573563329E-03 2.575581387E-01 3.027793470E-02 8.294535419E-03
 -2.445801552E+02 7.934132080E+00 2.641142869E+02 1.052241866E+07 3.635652440E+03 2.140110641E-01 4.423629213E-01 2.470148710E-01 9.573351634E-03 2.575675878E-01 3.026850061E-02 8.290653731E-03
 -2.360001507E+02 7.927306602E+00 2.686253534E+02 1.051220649E+07 3.635287176E+03 2.176795588E-01 4.423475456E-01 2.470391702E-01 9.573081578E-03 2.575800627E-01 3.025573231E-02 8.285521896E-03
 -2.276700492E+02 7.919267633E+00 2.741840414E+02 1.050007687E+07 3.634830160E+03 2.222007903E-01 4.423280497E-01 2.470699725E-01 9.572748856E-03 2.575959730E-01 3.023934906E-02 8.279027338E-03
 -2.195825720E+02 7.909481910E+00 2.807852687E+02 1.048530583E+07 3.634266102E+03 2.275711734E-01 4.423050818E-01 2.471062649E-01 9.572411970E-03 2.576141888E-01 3.021982766E-02 8.271704013E-03
 -2.117306525E+02 7.898157825E+00 2.883565377E+02 1.046817901E+07 3.633608610E+03 2.337324050E-01 4.422781816E-01 2.471487690E-01 9.572014777E-03 2.576355779E-01 3.019695350E-02 8.263101871E-03
 -2.041074296E+02 7.885219850E+00 2.968528887E+02 1.044858677E+07 3.632856142E+03 2.406486495E-01 4.422473636E-01 2.471974631E-01 9.571559063E-03 2.576600913E-01 3.017075303E-02 8.253239237E-03
 -1.967062423E+02 7.870655333E+00 3.062210520E+02 1.042649898E+07 3.632007182E+03 2.482774170E-01 4.422125454E-01 2.472524768E-01 9.571043190E-03 2.576878016E-01 3.014115737E-02 8.242085335E-03
 -1.895206236E+02 7.854388627E+00 3.164131500E+02 1.040179217E+07 3.631057431E+03 2.565807665E-01 4.421735546E-01 2.473140828E-01 9.570464676E-03 2.577188414E-01 3.010802510E-02 8.229584828E-03
 -1.825442948E+02 7.836336186E+00 3.273821130E+02 1.037432698E+07 3.630001584E+03 2.655215401E-01 4.421301631E-01 2.473826411E-01 9.569819912E-03 2.577533942E-01 3.007116627E-02 8.215661691E-03
 -1.757711600E+02 7.816420232E+00 3.390817152E+02 1.034397078E+07 3.628834665E+03 2.750633404E-01 4.420821563E-01 2.474584909E-01 9.569105490E-03 2.577916318E-01 3.003040343E-02 8.200244045E-03
 -1.691953009E+02 7.794591102E+00 3.514653541E+02 1.031063123E+07 3.627553214E+03 2.851694856E-01 4.420293782E-01 2.475418780E-01 9.568318802E-03 2.578336805E-01 2.998560962E-02 8.183278066E-03
 -1.628109718E+02 7.770832735E+00 3.644863293E+02 1.027426517E+07 3.626155691E+03 2.958032013E-01 4.419717510E-01 2.476329255E-01 9.567458377E-03 2.578796041E-01 2.993672479E-02 8.164734562E-03
