# Axial profile TIC nozzle / chemical equilibrium
# Columns:
# 1: Distance from throat [mm]
# 2: Density [kg/m3]
# 3: axial velocity [m/s]
# 4: pressure [Pa]
# 5: temperature [K]
# 6: Mach number [1]
# 7-12: Mass fractions of major species: CO, CO2, H2, H2O, OH, O2
 -2.718956893E+02 7.026940397E+00 2.699397513E+02 1.034185644E+07 3.773998573E+03 2.089658818E-01 2.387540344E-01 2.343328457E-01 7.833432210E-03 3.782085121E-01 7.237395393E-02 5.352719780E-02
 -2.625200867E+02 7.028463525E+00 2.705663151E+02 1.034403609E+07 3.773993112E+03 2.094521149E-01 2.387469235E-01 2.343440089E-01 7.833001863E-03 3.782169591E-01 7.236876618E-02 5.352266085E-02
 -2.534175599E+02 7.023981505E+00 2.729075710E+02 1.033674405E+07 3.773826298E+03 2.112703125E-01 2.387436412E-01 2.343492256E-01 7.832945549E-03 3.782193457E-01 7.236513635E-02 5.352257543E-02
 -2.445801552E+02 7.020489892E+00 2.763045690E+02 1.033069134E+07 3.773619235E+03 2.139086251E-01 2.387308828E-01 2.343693315E-01 7.832344262E-03 3.782326867E-01 7.235434511E-02 5.351684690E-02
 -2.360001507E+02 7.014675413E+00 2.810284042E+02 1.032076182E+07 3.773306637E+03 2.175784955E-01 2.387139145E-01 2.343960862E-01 7.831576722E-03 3.782500895E-01 7.233971307E-02 5.350968285E-02
 -2.276700492E+02 7.007836477E+00 2.868475153E+02 1.030900270E+07 3.772923726E+03 2.220999702E-01 2.386919592E-01 2.344306956E-01 7.830564809E-03 3.782728087E-01 7.232094243E-02 5.350014936E-02
 -2.195825720E+02 6.999459131E+00 2.937593792E+02 1.029460379E+07 3.772458015E+03 2.274718372E-01 2.386655364E-01 2.344723493E-01 7.829351023E-03 3.783001112E-01 7.229831489E-02 5.348873506E-02
 -2.117306525E+02 6.989778897E+00 3.016806217E+02 1.027792941E+07 3.771915354E+03 2.336298523E-01 2.386344464E-01 2.345213585E-01 7.827917976E-03 3.783322922E-01 7.227172961E-02 5.347523881E-02
 -2.041074296E+02 6.978712461E+00 3.105668826E+02 1.025887900E+07 3.771301450E+03 2.405398112E-01 2.385998142E-01 2.345759549E-01 7.826329455E-03 3.783680629E-01 7.224204344E-02 5.346031893E-02
 -1.967062423E+02 6.966367029E+00 3.203639347E+02 1.023742139E+07 3.770578469E+03 2.481626205E-01 2.385561954E-01 2.346446987E-01 7.824284882E-03 3.784135872E-01 7.220503059E-02 5.344091241E-02
 -1.895206236E+02 6.952091007E+00 3.310359148E+02 1.021350400E+07 3.769872270E+03 2.564623530E-01 2.385229969E-01 2.346970788E-01 7.822864416E-03 3.784467942E-01 7.217567731E-02 5.342806186E-02
 -1.825442948E+02 6.935624067E+00 3.425535882E+02 1.018676942E+07 3.768890253E+03 2.654314807E-01 2.384623313E-01 2.347926696E-01 7.820009401E-03 3.785101457E-01 7.212432546E-02 5.340088703E-02
 -1.757711600E+02 6.917228277E+00 3.548548125E+02 1.015707418E+07 3.767839599E+03 2.750136255E-01 2.384008588E-01 2.348895518E-01 7.817164385E-03 3.785738401E-01 7.207186391E-02 5.337403774E-02
 -1.691953009E+02 6.897070252E+00 3.678761157E+02 1.012451206E+07 3.766696326E+03 2.851620890E-01 2.383347463E-01 2.349937516E-01 7.814115138E-03 3.786422492E-01 7.201533716E-02 5.334532328E-02
 -1.628109718E+02 6.875135529E+00 3.815750990E+02 1.008901173E+07 3.765440751E+03 2.958452854E-01 2.382605484E-01 2.351106809E-01 7.810821324E-03 3.787157587E-01 7.195358909E-02 5.331272182E-02
 -1.566125940E+02 6.851466429E+00 3.959033333E+02 1.005060703E+07 3.764081694E+03 3.070268599E-01 2.381800640E-01 2.352375154E-01 7.807262570E-03 3.787951428E-01 7.188680363E-02 5.327731300E-02
 -1.505947514E+02 6.826097096E+00 4.108132334E+02 1.000932728E+07 3.762621167E+03 3.186709642E-01 2.380935818E-01 2.353738012E-01 7.803436853E-03 3.788804918E-01 7.181503416E-02 5.323926130E-02
 -1.447521858E+02 6.799068479E+00 4.262559119E+02 9.965213066E+06 3.761060434E+03 3.307407160E-01 2.380011584E-01 2.355194491E-01 7.799345963E-03 3.789717643E-01 7.173832853E-02 5.319858634E-02
 -1.390797921E+02 6.770415493E+00 4.421809947E+02 9.918295477E+06 3.759400693E+03 3.431980976E-01 2.379028708E-01 2.356743376E-01 7.794992962E-03 3.790688949E-01 7.165674865E-02 5.315532177E-02
 -1.335726137E+02 6.740183532E+00 4.585360931E+02 9.868620271E+06 3.757643405E+03 3.560035313E-01 2.377987883E-01 2.358383572E-01 7.790380173E-03 3.791718305E-01 7.157035265E-02 5.310949286E-02
 -1.282258385E+02 6.708401691E+00 4.752669143E+02 9.816208548E+06 3.755789738E+03 3.691159698E-01 2.376890143E-01 2.360113451E-01 7.785512228E-03 3.792804758E-01 7.147922085E-02 5.306115069E-02
 -1.230347947E+02 6.675136007E+00 4.923169325E+02 9.761137435E+06 3.753842084E+03 3.824925640E-01 2.375736571E-01 2.361931303E-01 7.780392898E-03 3.793947429E-01 7.138344564E-02 5.301033424E-02
 -1.179949463E+02 6.640429149E+00 5.096325744E+02 9.703451176E+06 3.751802829E+03 3.960927054E-01 2.374529282E-01 2.363833798E-01 7.775032130E-03 3.795144239E-01 7.128319260E-02 5.295714949E-02
 -1.131018896E+02 6.604427668E+00 5.271673374E+02 9.643352316E+06 3.749677162E+03 4.098811161E-01 2.373269546E-01 2.365818923E-01 7.769432228E-03 3.796394385E-01 7.117858726E-02 5.290161299E-02
 -1.083513491E+02 6.567143959E+00 5.448798362E+02 9.580852955E+06 3.747469675E+03 4.238263193E-01 2.371963778E-01 2.367876590E-01 7.763626917E-03 3.797690996E-01 7.107011639E-02 5.284408274E-02
 -1.037391739E+02 6.528809808E+00 5.627085528E+02 9.516262410E+06 3.745181752E+03 4.378817432E-01 2.370604203E-01 2.370018995E-01 7.757567778E-03 3.799043420E-01 7.095723617E-02 5.278403524E-02
 -9.926133389E+01 6.489405129E+00 5.806211781E+02 9.449716181E+06 3.742856262E+03 4.520186674E-01 2.369250321E-01 2.372152587E-01 7.751571938E-03 3.800386750E-01 7.084447670E-02 5.272480258E-02
 -9.491391640E+01 6.449313627E+00 5.985705956E+02 9.380961559E+06 3.740314040E+03 4.662216739E-01 2.367643339E-01 2.374684240E-01 7.744250379E-03 3.802004837E-01 7.071217729E-02 5.265179153E-02
 -9.069312272E+01 6.406779530E+00 6.166114677E+02 9.311100132E+06 3.738023273E+03 4.804715230E-01 2.366494115E-01 2.376496346E-01 7.739447775E-03 3.803114089E-01 7.061412638E-02 5.260547129E-02
 -8.659526478E+01 6.361198313E+00 6.348889094E+02 9.237857178E+06 3.735131384E+03 4.949672537E-01 2.364675364E-01 2.379361374E-01 7.731191005E-03 3.804941326E-01 7.046410569E-02 5.252329377E-02
 -8.261676192E+01 6.314787385E+00 6.531131116E+02 9.163289783E+06 3.732271588E+03 5.094328732E-01 2.362949898E-01 2.382079830E-01 7.723457274E-03 3.806664944E-01 7.032091367E-02 5.244675690E-02
 -7.875413778E+01 6.267916766E+00 6.712316627E+02 9.087641123E+06 3.729390346E+03 5.238348432E-01 2.361228963E-01 2.384791227E-01 7.715762550E-03 3.808383199E-01 7.017786456E-02 5.237075519E-02
 -7.500401727E+01 6.220778938E+00 6.892105783E+02 9.011131459E+06 3.726481741E+03 5.381481949E-01 2.359496075E-01 2.387521461E-01 7.708012980E-03 3.810114817E-01 7.003374527E-02 5.229428931E-02
 -7.136312356E+01 6.173553935E+00 7.070151134E+02 8.934021926E+06 3.723551864E+03 5.523457884E-01 2.357751370E-01 2.390270297E-01 7.700203571E-03 3.811860316E-01 6.988860911E-02 5.221729136E-02
 -6.782827530E+01 6.126399917E+00 7.246147015E+02 8.856561049E+06 3.720609557E+03 5.664031955E-01 2.355999559E-01 2.393030308E-01 7.692354383E-03 3.813615124E-01 6.974285427E-02 5.213995705E-02
 -6.439638379E+01 6.079453315E+00 7.419814921E+02 8.778970065E+06 3.717663117E+03 5.802979717E-01 2.354245481E-01 2.395793874E-01 7.684486831E-03 3.815374440E-01 6.959688421E-02 5.206249741E-02
 -6.106445028E+01 6.032820570E+00 7.590912221E+02 8.701432981E+06 3.714720930E+03 5.940102386E-01 2.352495389E-01 2.398551145E-01 7.676630861E-03 3.817131791E-01 6.945120386E-02 5.198521497E-02
 -5.782956338E+01 5.986535256E+00 7.759268942E+02 8.623987519E+06 3.711779953E+03 6.075271904E-01 2.350743416E-01 2.401311345E-01 7.668753961E-03 3.818893736E-01 6.930537461E-02 5.190776574E-02
 -5.468889648E+01 5.940408834E+00 7.925044824E+02 8.546448095E+06 3.708860137E+03 6.208579304E-01 2.349025929E-01 2.404017315E-01 7.661056637E-03 3.820619720E-01 6.916212254E-02 5.183226772E-02
 -5.163970532E+01 5.892107287E+00 8.090493238E+02 8.469129252E+06 3.705813794E+03 6.341652382E-01 2.347237984E-01 2.406834056E-01 7.653268084E-03 3.822366601E-01 6.901476834E-02 5.175395637E-02
 -4.867932556E+01 5.841351238E+00 8.257672461E+02 8.388530133E+06 3.702425556E+03 6.476579596E-01 2.345102359E-01 2.410197573E-01 7.643972074E-03 3.824424450E-01 6.884280471E-02 5.165731418E-02
 -4.580517044E+01 5.791897431E+00 8.420155601E+02 8.309661124E+06 3.699153123E+03 6.607875608E-01 2.343077401E-01 2.413386960E-01 7.635205141E-03 3.826371712E-01 6.867931418E-02 5.156639295E-02
 -4.301472859E+01 5.743149687E+00 8.579196173E+02 8.231463409E+06 3.695924658E+03 6.736610980E-01 2.341093413E-01 2.416511865E-01 7.626626897E-03 3.828279741E-01 6.851895257E-02 5.147755309E-02
 -4.030556173E+01 5.695423657E+00 8.734339350E+02 8.154402433E+06 3.692746277E+03 6.862421318E-01 2.339142245E-01 2.419585064E-01 7.618183889E-03 3.830158397E-01 6.836119586E-02 5.139018789E-02
 -3.767530265E+01 5.648795516E+00 8.885552907E+02 8.078621216E+06 3.689622481E+03 6.985268897E-01 2.337225424E-01 2.422604148E-01 7.609881235E-03 3.832006316E-01 6.820618249E-02 5.130434205E-02
 -3.512165306E+01 5.603367805E+00 9.032719111E+02 8.004292940E+06 3.686555248E+03 7.105052858E-01 2.335339494E-01 2.425574536E-01 7.601697186E-03 3.833827525E-01 6.805368690E-02 5.121976725E-02
 -3.264238161E+01 5.559168977E+00 9.175797046E+02 7.931589765E+06 3.683573018E+03 7.221683801E-01 2.333521440E-01 2.428438077E-01 7.593822940E-03 3.835582770E-01 6.790648138E-02 5.113852109E-02
 -3.023532195E+01 5.516219467E+00 9.314896286E+02 7.860198152E+06 3.680576041E+03 7.335415304E-01 2.331630801E-01 2.431415599E-01 7.585526807E-03 3.837421426E-01 6.775410018E-02 5.105269430E-02
 -2.789837083E+01 5.473585856E+00 9.451180635E+02 7.790281895E+06 3.677961982E+03 7.446419241E-01 2.330268695E-01 2.433562144E-01 7.579971538E-03 3.838700155E-01 6.764113953E-02 5.099651493E-02
 -2.562948624E+01 5.428486602E+00 9.589653568E+02 7.719097098E+06 3.674662811E+03 7.560042472E-01 2.328089412E-01 2.436993479E-01 7.570275800E-03 3.840834142E-01 6.746637630E-02 5.089592219E-02
 -2.342668567E+01 5.382042714E+00 9.729243507E+02 7.646105844E+06 3.671378894E+03 7.674624240E-01 2.326018186E-01 2.440255076E-01 7.561194010E-03 3.842848750E-01 6.729919873E-02 5.080217769E-02
 -2.128804434E+01 5.337613710E+00 9.863176725E+02 7.575950473E+06 3.668255390E+03 7.784687715E-01 2.324077164E-01 2.443311752E-01 7.552717183E-03 3.844734380E-01 6.714218180E-02 5.071487218E-02
 -1.921169354E+01 5.294560230E+00 9.992807475E+02 7.507575619E+06 3.665224348E+03 7.891392088E-01 2.322204962E-01 2.446260087E-01 7.544549067E-03 3.846553636E-01 6.699058055E-02 5.063085871E-02
 -1.719581897E+01 5.253036320E+00 1.011782198E+03 7.441217919E+06 3.662285486E+03 7.994483453E-01 2.320391536E-01 2.449115850E-01 7.536631507E-03 3.848317747E-01 6.684369665E-02 5.054948757E-02
 -1.523865919E+01 5.213046168E+00 1.023824044E+03 7.376908408E+06 3.659436356E+03 8.093970478E-01 2.318631909E-01 2.451886867E-01 7.528938236E-03 3.850031939E-01 6.670116860E-02 5.047046735E-02
 -1.333850407E+01 5.174611418E+00 1.035404791E+03 7.314737722E+06 3.656684732E+03 8.189814221E-01 2.316934413E-01 2.454560035E-01 7.521511816E-03 3.851687306E-01 6.656363252E-02 5.039424719E-02
 -1.149369327E+01 5.137754578E+00 1.046528821E+03 7.254730894E+06 3.654019126E+03 8.282060641E-01 2.315280386E-01 2.457164687E-01 7.514253777E-03 3.853303770E-01 6.642971151E-02 5.031975556E-02
 -9.702614826E+00 5.102362188E+00 1.057217627E+03 7.196976413E+06 3.651501316E+03 8.370736709E-01 2.313761460E-01 2.459556779E-01 7.507647274E-03 3.854782831E-01 6.630621619E-02 5.025220413E-02
