# Axial (center line) profile RAO nozzle / chemical equilibrium
# Columns:
# 1: Distance from throat [mm]
# 2: Density [kg/m3]
# 3: axial velocity [m/s]
# 4: pressure [Pa]
# 5: temperature [K]
# 6: Mach number [1]
# 7-12: Mass fractions of major species: CO, CO2, H2, H2O, OH, O2
 -2.718956893E+02 7.027154299E+00 2.697479816E+02 1.034222309E+07 3.774010427E+03 2.088169606E-01 2.387547064E-01 2.343317862E-01 7.833463061E-03 3.782078181E-01 7.237452950E-02 5.352748799E-02
 -2.625200867E+02 7.028601912E+00 2.703743658E+02 1.034427446E+07 3.774001032E+03 2.093032058E-01 2.387473917E-01 2.343432710E-01 7.833023646E-03 3.782164725E-01 7.236916458E-02 5.352286712E-02
 -2.534175599E+02 7.024098985E+00 2.727116576E+02 1.033694548E+07 3.773832807E+03 2.111183866E-01 2.387440101E-01 2.343486441E-01 7.832962478E-03 3.782189649E-01 7.236545227E-02 5.352273464E-02
 -2.445801552E+02 7.020613067E+00 2.761025126E+02 1.033090281E+07 3.773626103E+03 2.137519191E-01 2.387312750E-01 2.343687133E-01 7.832362311E-03 3.782322812E-01 7.235468062E-02 5.351701684E-02
 -2.360001507E+02 7.014843150E+00 2.808175001E+02 1.032104988E+07 3.773315975E+03 2.174148232E-01 2.387144460E-01 2.343952483E-01 7.831601163E-03 3.782495401E-01 7.234016803E-02 5.350991285E-02
 -2.276700492E+02 7.008077901E+00 2.866263450E+02 1.030941754E+07 3.772937159E+03 2.219281558E-01 2.386927227E-01 2.344294921E-01 7.830599897E-03 3.782720197E-01 7.232159603E-02 5.350047944E-02
 -2.195825720E+02 6.999776943E+00 2.935269293E+02 1.029515026E+07 3.772475685E+03 2.272910754E-01 2.386665385E-01 2.344707696E-01 7.829397055E-03 3.782990756E-01 7.229917314E-02 5.348916789E-02
 -2.117306525E+02 6.990145206E+00 3.014347832E+02 1.027856034E+07 3.771935821E+03 2.334385553E-01 2.386356130E-01 2.345195194E-01 7.827971665E-03 3.783310855E-01 7.227272799E-02 5.347574399E-02
 -2.041074296E+02 6.979081723E+00 3.103033595E+02 1.025951422E+07 3.771321771E+03 2.403347762E-01 2.386009472E-01 2.345741686E-01 7.826381225E-03 3.783668946E-01 7.224301643E-02 5.346080416E-02
 -1.967062423E+02 6.966687040E+00 3.200778994E+02 1.023798083E+07 3.770597823E+03 2.479401104E-01 2.385574064E-01 2.346427905E-01 7.824342271E-03 3.784123166E-01 7.220605277E-02 5.344145997E-02
 -1.895206236E+02 6.952346889E+00 3.307247830E+02 1.021392805E+07 3.769889413E+03 2.562205040E-01 2.385241902E-01 2.346951994E-01 7.822922481E-03 3.784455277E-01 7.217667080E-02 5.342862334E-02
 -1.825442948E+02 6.935867583E+00 3.422187136E+02 1.018716396E+07 3.768904541E+03 2.651713327E-01 2.384631964E-01 2.347913064E-01 7.820049869E-03 3.785092449E-01 7.212505991E-02 5.340127103E-02
 -1.757711600E+02 6.917550211E+00 3.545003769E+02 1.015759330E+07 3.767857773E+03 2.747380683E-01 2.384019050E-01 2.348879030E-01 7.817212550E-03 3.785727587E-01 7.207275894E-02 5.337449103E-02
 -1.691953009E+02 6.897567271E+00 3.675050497E+02 1.012531487E+07 3.766724344E+03 2.848730617E-01 2.383363513E-01 2.349912218E-01 7.814188950E-03 3.786405905E-01 7.201671152E-02 5.334601718E-02
 -1.628109718E+02 6.875853891E+00 3.811890945E+02 1.009017533E+07 3.765481867E+03 2.955439011E-01 2.382629777E-01 2.351068526E-01 7.810928623E-03 3.787133643E-01 7.195560549E-02 5.331378930E-02
 -1.566125940E+02 6.852387228E+00 3.955006335E+02 1.005210289E+07 3.764134597E+03 3.067117356E-01 2.381831943E-01 2.352325824E-01 7.807400973E-03 3.787920549E-01 7.188940156E-02 5.327868973E-02
 -1.505947514E+02 6.827142232E+00 4.103889464E+02 1.001103032E+07 3.762681430E+03 3.183384792E-01 2.380971509E-01 2.353681767E-01 7.803594794E-03 3.788769682E-01 7.181799613E-02 5.324083202E-02
 -1.447521858E+02 6.800126304E+00 4.258033127E+02 9.966942395E+06 3.761121652E+03 3.303859673E-01 2.380047870E-01 2.355137309E-01 7.799506674E-03 3.789681791E-01 7.174133979E-02 5.320018415E-02
 -1.390797921E+02 6.771382574E+00 4.416938974E+02 9.919881784E+06 3.759456844E+03 3.428166196E-01 2.379061993E-01 2.356690922E-01 7.795140473E-03 3.790656038E-01 7.165951111E-02 5.315678779E-02
 -1.335726137E+02 6.741012492E+00 4.580122734E+02 9.869984760E+06 3.757691680E+03 3.555937729E-01 2.378016482E-01 2.358338503E-01 7.790506972E-03 3.791690009E-01 7.157272665E-02 5.311075242E-02
 -1.282258385E+02 6.709137148E+00 4.747101055E+02 9.817423446E+06 3.755832671E+03 3.686806743E-01 2.376915538E-01 2.360073432E-01 7.785624835E-03 3.792779619E-01 7.148132956E-02 5.306226856E-02
 -1.230347947E+02 6.675918584E+00 4.917361185E+02 9.762435184E+06 3.753887921E+03 3.820381383E-01 2.375763670E-01 2.361888599E-01 7.780513120E-03 3.793920584E-01 7.138569624E-02 5.301152707E-02
 -1.179949463E+02 6.641425415E+00 5.090386281E+02 9.705109797E+06 3.751861345E+03 3.956268490E-01 2.374563823E-01 2.363779366E-01 7.775185402E-03 3.795110000E-01 7.128606228E-02 5.295866920E-02
 -1.131018896E+02 6.605709980E+00 5.265654042E+02 9.645497820E+06 3.749753124E+03 4.094073589E-01 2.373314636E-01 2.365747870E-01 7.769632853E-03 3.796349606E-01 7.118233073E-02 5.290360257E-02
 -1.083513491E+02 6.568704510E+00 5.442670826E+02 9.583473655E+06 3.747562057E+03 4.233424197E-01 2.372018266E-01 2.367790724E-01 7.763869018E-03 3.797636892E-01 7.107464495E-02 5.284648047E-02
 -1.037391739E+02 6.530527086E+00 5.620823640E+02 9.519162340E+06 3.745284468E+03 4.373860095E-01 2.370665243E-01 2.369922809E-01 7.757839923E-03 3.798982673E-01 7.096230436E-02 5.278673155E-02
 -9.926133389E+01 6.491166627E+00 5.799711482E+02 9.452696988E+06 3.742960252E+03 4.515037352E-01 2.369310711E-01 2.372057418E-01 7.751839255E-03 3.800326828E-01 7.084950851E-02 5.272744180E-02
 -9.491391640E+01 6.451002153E+00 5.978876753E+02 9.383867339E+06 3.740422129E+03 4.656799546E-01 2.367712227E-01 2.374575716E-01 7.744565177E-03 3.801935350E-01 7.071784272E-02 5.265493277E-02
 -9.069312272E+01 6.408365295E+00 6.158868127E+02 9.313677146E+06 3.738131988E+03 4.798974036E-01 2.366568552E-01 2.376379120E-01 7.739794463E-03 3.803038350E-01 7.062019593E-02 5.260895461E-02
 -8.659526478E+01 6.362703491E+00 6.341166714E+02 9.240277139E+06 3.735225924E+03 4.943569164E-01 2.364733949E-01 2.379269082E-01 7.731455814E-03 3.804882577E-01 7.046894854E-02 5.252592395E-02
 -8.261676192E+01 6.316244824E+00 6.523180566E+02 9.165637047E+06 3.732361415E+03 5.088045978E-01 2.363003929E-01 2.381994705E-01 7.723699310E-03 3.806610968E-01 7.032539988E-02 5.244915050E-02
 -7.875413778E+01 6.269512395E+00 6.704228354E+02 9.090222143E+06 3.729488308E+03 5.231944392E-01 2.361287174E-01 2.384699511E-01 7.716022499E-03 3.808325094E-01 7.018270732E-02 5.237332018E-02
 -7.500401727E+01 6.222604333E+00 6.883973049E+02 9.014101067E+06 3.726594273E+03 5.375022097E-01 2.359562801E-01 2.387416329E-01 7.708311049E-03 3.810048152E-01 7.003929904E-02 5.229722758E-02
 -7.136312356E+01 6.175656171E+00 7.062018021E+02 8.937462748E+06 3.723682251E+03 5.516971995E-01 2.357828707E-01 2.390148448E-01 7.700549447E-03 3.811782947E-01 6.989504682E-02 5.222069865E-02
 -6.782827530E+01 6.128782591E+00 7.238031430E+02 8.860484458E+06 3.720758165E+03 5.657532161E-01 2.356087671E-01 2.392891485E-01 7.692748820E-03 3.813526869E-01 6.975019047E-02 5.214383978E-02
 -6.439638379E+01 6.082055248E+00 7.411679333E+02 8.783284379E+06 3.717827248E+03 5.796437776E-01 2.354343476E-01 2.395639483E-01 7.684927028E-03 3.815276045E-01 6.960503630E-02 5.206683159E-02
 -6.106445028E+01 6.035546945E+00 7.582666498E+02 8.705967296E+06 3.714890499E+03 5.933459157E-01 2.352594011E-01 2.398395755E-01 7.677070392E-03 3.817033066E-01 6.945944152E-02 5.198952395E-02
 -5.782956338E+01 5.989258813E+00 7.750849267E+02 8.628604235E+06 3.711964942E+03 6.068459438E-01 2.350862399E-01 2.401123939E-01 7.669302415E-03 3.818772586E-01 6.931517107E-02 5.191320947E-02
 -5.468889648E+01 5.943189246E+00 7.916351788E+02 8.550914744E+06 3.708981799E+03 6.201639018E-01 2.349054958E-01 2.403971336E-01 7.661122149E-03 3.820597416E-01 6.916507499E-02 5.183264770E-02
 -5.163970532E+01 5.895047095E+00 8.081300494E+02 8.473789644E+06 3.706011618E+03 6.334225429E-01 2.347364355E-01 2.406635034E-01 7.653820398E-03 3.822244622E-01 6.902492470E-02 5.175970726E-02
 -4.867932556E+01 5.844274048E+00 8.248448624E+02 8.393168406E+06 3.702616646E+03 6.469126786E-01 2.345219343E-01 2.410013312E-01 7.644476265E-03 3.824312263E-01 6.885226294E-02 5.166253998E-02
 -4.580517044E+01 5.794901469E+00 8.410901142E+02 8.314460293E+06 3.699350729E+03 6.600379445E-01 2.343198325E-01 2.413196494E-01 7.635726856E-03 3.826255594E-01 6.868909311E-02 5.157179605E-02
 -4.301472859E+01 5.746254906E+00 8.569986105E+02 8.236463096E+06 3.696131669E+03 6.729125645E-01 2.341221193E-01 2.416310607E-01 7.627180571E-03 3.828156674E-01 6.852927517E-02 5.148328757E-02
